date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag
20180101,2018-01-01 00:00:00,1,1,1,Monday,Mon,Y,1,1,2018-01-01 00:00:00,20180101,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180102,2018-01-02 00:00:00,2,2,2,Tuesday,Tue,Y,1,1,2018-01-01 00:00:00,20180101,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180103,2018-01-03 00:00:00,3,3,3,Wednesday,Wed,Y,1,1,2018-01-01 00:00:00,20180101,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180104,2018-01-04 00:00:00,4,4,4,Thursday,Thu,Y,1,1,2018-01-01 00:00:00,20180101,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180105,2018-01-05 00:00:00,5,5,5,Friday,Fri,Y,1,1,2018-01-01 00:00:00,20180101,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180106,2018-01-06 00:00:00,6,6,6,Saturday,Sat,N,1,1,2018-01-01 00:00:00,20180101,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180107,2018-01-07 00:00:00,7,7,7,Sunday,Sun,N,1,1,2018-01-01 00:00:00,20180101,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180108,2018-01-08 00:00:00,1,8,8,Monday,Mon,Y,2,2,2018-01-08 00:00:00,20180108,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180109,2018-01-09 00:00:00,2,9,9,Tuesday,Tue,Y,2,2,2018-01-08 00:00:00,20180108,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180110,2018-01-10 00:00:00,3,10,10,Wednesday,Wed,Y,2,2,2018-01-08 00:00:00,20180108,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180111,2018-01-11 00:00:00,4,11,11,Thursday,Thu,Y,2,2,2018-01-08 00:00:00,20180108,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180112,2018-01-12 00:00:00,5,12,12,Friday,Fri,Y,2,2,2018-01-08 00:00:00,20180108,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180113,2018-01-13 00:00:00,6,13,13,Saturday,Sat,N,2,2,2018-01-08 00:00:00,20180108,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180114,2018-01-14 00:00:00,7,14,14,Sunday,Sun,N,2,2,2018-01-08 00:00:00,20180108,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180115,2018-01-15 00:00:00,1,15,15,Monday,Mon,Y,3,3,2018-01-15 00:00:00,20180115,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180116,2018-01-16 00:00:00,2,16,16,Tuesday,Tue,Y,3,3,2018-01-15 00:00:00,20180115,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180117,2018-01-17 00:00:00,3,17,17,Wednesday,Wed,Y,3,3,2018-01-15 00:00:00,20180115,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180118,2018-01-18 00:00:00,4,18,18,Thursday,Thu,Y,3,3,2018-01-15 00:00:00,20180115,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180119,2018-01-19 00:00:00,5,19,19,Friday,Fri,Y,3,3,2018-01-15 00:00:00,20180115,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180120,2018-01-20 00:00:00,6,20,20,Saturday,Sat,N,3,3,2018-01-15 00:00:00,20180115,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180121,2018-01-21 00:00:00,7,21,21,Sunday,Sun,N,3,3,2018-01-15 00:00:00,20180115,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180122,2018-01-22 00:00:00,1,22,22,Monday,Mon,Y,4,4,2018-01-22 00:00:00,20180122,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180123,2018-01-23 00:00:00,2,23,23,Tuesday,Tue,Y,4,4,2018-01-22 00:00:00,20180122,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180124,2018-01-24 00:00:00,3,24,24,Wednesday,Wed,Y,4,4,2018-01-22 00:00:00,20180122,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180125,2018-01-25 00:00:00,4,25,25,Thursday,Thu,Y,4,4,2018-01-22 00:00:00,20180122,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180126,2018-01-26 00:00:00,5,26,26,Friday,Fri,Y,4,4,2018-01-22 00:00:00,20180122,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180127,2018-01-27 00:00:00,6,27,27,Saturday,Sat,N,4,4,2018-01-22 00:00:00,20180122,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180128,2018-01-28 00:00:00,7,28,28,Sunday,Sun,N,4,4,2018-01-22 00:00:00,20180122,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180129,2018-01-29 00:00:00,1,29,29,Monday,Mon,Y,5,5,2018-01-29 00:00:00,20180129,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180130,2018-01-30 00:00:00,2,30,30,Tuesday,Tue,Y,5,5,2018-01-29 00:00:00,20180129,1,1,January,Jan,1,2018,201801,7,3,2018,N
20180131,2018-01-31 00:00:00,3,31,31,Wednesday,Wed,Y,5,5,2018-01-29 00:00:00,20180129,1,1,January,Jan,1,2018,201801,7,3,2018,Y
20180201,2018-02-01 00:00:00,4,1,32,Thursday,Thu,Y,5,5,2018-01-29 00:00:00,20180129,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180202,2018-02-02 00:00:00,5,2,33,Friday,Fri,Y,5,5,2018-01-29 00:00:00,20180129,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180203,2018-02-03 00:00:00,6,3,34,Saturday,Sat,N,5,5,2018-01-29 00:00:00,20180129,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180204,2018-02-04 00:00:00,7,4,35,Sunday,Sun,N,5,5,2018-01-29 00:00:00,20180129,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180205,2018-02-05 00:00:00,1,5,36,Monday,Mon,Y,6,6,2018-02-05 00:00:00,20180205,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180206,2018-02-06 00:00:00,2,6,37,Tuesday,Tue,Y,6,6,2018-02-05 00:00:00,20180205,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180207,2018-02-07 00:00:00,3,7,38,Wednesday,Wed,Y,6,6,2018-02-05 00:00:00,20180205,2,2,February,Feb,1,2018,201802,8,3,2018,N
