IDZipCode,Province/City,Wards,District,Country,Continents
1,Hồ Chí Minh,Phường Bến Nghé,Quận 1,Việt Nam,Châu Á
2,Hồ Chí Minh,Phường Bến Thành,Quận 1,Việt Nam,Châu Á
3,Hồ Chí Minh,Phường Cầu Kho,Quận 1,Việt Nam,Châu Á
4,Hồ Chí Minh,Phường Cầu Ông Lãnh,Quận 1,Việt Nam,Châu Á
5,Hồ Chí Minh,Phường Cô Giang,Quận 1,Việt Nam,Châu Á
6,Hồ Chí Minh,Phường Đa Kao,Quận 1,Việt Nam,Châu Á
7,Hồ Chí Minh,Phường Nguyễn Cư Trinh,Quận 1,Việt Nam,Châu Á
8,Hồ Chí Minh,Phường Nguyễn Thái Bình,Quận 1,Việt Nam,Châu Á
9,Hồ Chí Minh,Phường Phạm Ngũ Lão,Quận 1,Việt Nam,Châu Á
10,Hồ Chí Minh,Phường Tân Định,Quận 1,Việt Nam,Châu Á
11,Hồ Chí Minh,Phường An Khánh,Quận 2,Việt Nam,Châu Á
12,Hồ Chí Minh,Phường An Lợi Đông,Quận 2,Việt Nam,Châu Á
13,Hồ Chí Minh,Phường An Phú,Quận 2,Việt Nam,Châu Á
14,Hồ Chí Minh,Phường Bình An,Quận 2,Việt Nam,Châu Á
15,Hồ Chí Minh,Phường Bình Khánh,Quận 2,Việt Nam,Châu Á
16,Hồ Chí Minh,Phường Bình Trưng Đông,Quận 2,Việt Nam,Châu Á
17,Hồ Chí Minh,Phường Bình Trưng Tây,Quận 2,Việt Nam,Châu Á
18,Hồ Chí Minh,Phường Cát Lái,Quận 2,Việt Nam,Châu Á
19,Hồ Chí Minh,Phường Thạnh Mỹ Lợi,Quận 2,Việt Nam,Châu Á
20,Hồ Chí Minh,Phường Thảo Điền,Quận 2,Việt Nam,Châu Á
21,Hồ Chí Minh,Phường Thủ Thiêm,Quận 2,Việt Nam,Châu Á
22,Hồ Chí Minh,Phường 01,Quận 3,Việt Nam,Châu Á
23,Hồ Chí Minh,Phường 02,Quận 3,Việt Nam,Châu Á
24,Hồ Chí Minh,Phường 03,Quận 3,Việt Nam,Châu Á
25,Hồ Chí Minh,Phường 04,Quận 3,Việt Nam,Châu Á
26,Hồ Chí Minh,Phường 05,Quận 3,Việt Nam,Châu Á
27,Hồ Chí Minh,Phường 06,Quận 3,Việt Nam,Châu Á
28,Hồ Chí Minh,Phường 07,Quận 3,Việt Nam,Châu Á
29,Hồ Chí Minh,Phường 08,Quận 3,Việt Nam,Châu Á
30,Hồ Chí Minh,Phường 09,Quận 3,Việt Nam,Châu Á
